,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour
3362,03/04/2022,1900-01-01 20:00:00,MANHATTAN,10009.0,40.724884,-73.978264,"(40.724884, -73.978264)",,,130       AVENUE C,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Following Too Closely,,,,4508096,Station Wagon/Sport Utility Vehicle,E-Bike,,,,20
3363,03/04/2022,1900-01-01 23:40:00,MANHATTAN,10029.0,40.795612,-73.935715,"(40.795612, -73.935715)",,,2247      1 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4508038,Sedan,Station Wagon/Sport Utility Vehicle,,,,23
3364,03/03/2022,1900-01-01 16:42:00,MANHATTAN,10035.0,40.80814,-73.93849,"(40.80814, -73.93849)",,,42        EAST 129 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4508035,Sedan,Sedan,Sedan,Sedan,,16
3365,02/24/2022,1900-01-01 09:20:00,MANHATTAN,10027.0,40.81507,-73.95298,"(40.81507, -73.95298)",WEST 130 STREET,CONVENT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4508194,Sedan,,,,,9
3366,03/05/2022,1900-01-01 13:22:00,MANHATTAN,10003.0,40.733715,-73.98822,"(40.733715, -73.98822)",,,140       EAST 14 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4507604,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,13
3367,03/04/2022,1900-01-01 15:40:00,MANHATTAN,10030.0,40.821262,-73.94608,"(40.821262, -73.94608)",SAINT NICHOLAS AVENUE,WEST 141 STREET,,1,0,1,0,0,0,0,0,,,,,,4508200,,,,,,15
3368,03/04/2022,1900-01-01 22:30:00,MANHATTAN,10003.0,40.735313,-73.994125,"(40.735313, -73.994125)",EAST 13 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4508062,Station Wagon/Sport Utility Vehicle,Sedan,,,,22
3369,03/02/2022,1900-01-01 00:40:00,MANHATTAN,10003.0,40.730377,-73.98638,"(40.730377, -73.98638)",2 AVENUE,EAST 11 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4508098,Sedan,Pick-up Truck,,,,0
3370,03/03/2022,1900-01-01 16:35:00,MANHATTAN,10029.0,40.795017,-73.944275,"(40.795017, -73.944275)",,,1774      LEXINGTON AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4508165,Station Wagon/Sport Utility Vehicle,,,,,16
3371,03/05/2022,1900-01-01 01:00:00,MANHATTAN,10002.0,40.72293,-73.98865,"(40.72293, -73.98865)",ALLEN STREET,EAST HOUSTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4507327,Sedan,Sedan,,,,1
3372,03/03/2022,1900-01-01 22:25:00,MANHATTAN,10036.0,40.763996,-73.99601,"(40.763996, -73.99601)",WEST 47 STREET,11 AVENUE,,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,4508075,Taxi,Sedan,,,,22
3373,03/05/2022,1900-01-01 01:40:00,MANHATTAN,10035.0,40.805737,-73.94065,"(40.805737, -73.94065)",EAST 125 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4508041,Sedan,Sedan,,,,1
3374,04/23/2022,1900-01-01 01:00:00,MANHATTAN,10030.0,40.820965,-73.939575,"(40.820965, -73.939575)",7 AVENUE,WEST 144 STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4524066,Motorbike,Sedan,,,,1
3375,04/30/2022,1900-01-01 17:34:00,MANHATTAN,10037.0,40.815403,-73.93992,"(40.815403, -73.93992)",WEST 137 STREET,LENOX AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4523428,Sedan,Sedan,,,,17
3376,04/28/2022,1900-01-01 17:50:00,MANHATTAN,10017.0,,,,EAST 49 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4524055,Sedan,,,,,17
3377,04/30/2022,1900-01-01 14:00:00,MANHATTAN,10022.0,40.758915,-73.9742,"(40.758915, -73.9742)",,,49        EAST 52 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4524215,Sedan,,,,,14
